RefKey,MD5
base_E_ONLY_16-23_N12288_P8_A1_RS1,a3a6d34dc6fee67ee05b7a15561bf607
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N12288_P1_A1_RS1,a59ab6fadcb81958979e0d31fee217c5
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N12288_P2_A1_RS1,42afc812968ede3776bdaed41f87834f
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N12288_P4_A1_RS1,667cf5c7fb11ddaa97bc224bb680c9b7
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N12288_P8_A1_RS1,a3a6d34dc6fee67ee05b7a15561bf607
base_P_PLUS_E_PHYSICAL_0+2+4+6+8+10+12+14+16-23_N12288_P16_A1_RS1,014d2e60ff0f7317f28e4e7fd23caba5
base_ALL_LOGICAL_0-23_N12288_P1_A1_RS1,a59ab6fadcb81958979e0d31fee217c5
base_ALL_LOGICAL_0-23_N12288_P2_A1_RS1,42afc812968ede3776bdaed41f87834f
base_ALL_LOGICAL_0-23_N12288_P4_A1_RS1,667cf5c7fb11ddaa97bc224bb680c9b7
base_ALL_LOGICAL_0-23_N12288_P8_A1_RS1,a3a6d34dc6fee67ee05b7a15561bf607
base_ALL_LOGICAL_0-23_N12288_P16_A1_RS1,014d2e60ff0f7317f28e4e7fd23caba5
base_ALL_LOGICAL_0-23_N12288_P24_A1_RS1,961411f42e8299f9395d7b4df2fc3221
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N15000_P1_A1_RS1,8585e38c5f46eae9f1ab08794c63e81b
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N15000_P2_A1_RS1,4aebb523ee057986204ffe999589c36a
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N15000_P4_A1_RS1,7f93b50c5438cda92ee11695f3a166ff
base_P_ONLY_PHYSICAL_0+2+4+6+8+10+12+14_N15000_P8_A1_RS1,a6e18a59ce339ed0cd675b4b75721828
base_P_ONLY_HT_0-15_N15000_P1_A1_RS1,8585e38c5f46eae9f1ab08794c63e81b
